DCO,DEV,SENS,Volume_DEV
3/22/2022,CAD,Achat,6300.00
3/22/2022,CAD,Achat,155.34
3/23/2022,CAD,Achat,7616.00
3/23/2022,CAD,Achat,5322.39
3/23/2022,CAD,Achat,31.47
3/24/2022,CAD,Achat,2481.50
3/24/2022,CAD,Achat,435.38
3/24/2022,CAD,Achat,9290.92
3/25/2022,CAD,Achat,0.36
3/25/2022,CAD,Achat,15987.56
3/25/2022,CAD,Achat,5295.50
3/28/2022,CAD,Achat,21527.58
3/28/2022,CAD,Achat,713.39
3/28/2022,CAD,Achat,4683.00
3/29/2022,CAD,Achat,40666.89
3/29/2022,CAD,Achat,3640.00
3/29/2022,CAD,Achat,523.94
3/30/2022,CAD,Achat,4942.00
3/30/2022,CAD,Achat,11121.89
4/1/2022,CAD,Achat,127.56
4/1/2022,CAD,Achat,2604.00
4/1/2022,CAD,Achat,27618.35
4/4/2022,CAD,Achat,10972.50
4/4/2022,CAD,Achat,155.43
4/4/2022,CAD,Achat,16745.60
4/5/2022,CAD,Achat,41159.29
4/5/2022,CAD,Achat,532.00
4/5/2022,CAD,Achat,30.89
4/6/2022,CAD,Achat,2180.50
4/6/2022,CAD,Achat,16.65
4/6/2022,CAD,Achat,7958.27
4/7/2022,CAD,Achat,4305.00
4/7/2022,CAD,Achat,1231.38
4/7/2022,CAD,Achat,47.69
4/8/2022,CAD,Achat,31430.81
4/8/2022,CAD,Achat,1375.50
4/8/2022,CAD,Achat,7.02
4/11/2022,CAD,Achat,3164.00
4/11/2022,CAD,Achat,101.91
4/11/2022,CAD,Achat,15384.79
4/12/2022,CAD,Achat,20457.48
4/12/2022,CAD,Achat,265.69
4/12/2022,CAD,Achat,3115.00
4/13/2022,CAD,Achat,388.50
4/13/2022,CAD,Achat,15024.61
4/13/2022,CAD,Achat,123.23
4/14/2022,CAD,Achat,2068.50
4/14/2022,CAD,Achat,13478.16
4/14/2022,CAD,Achat,144.31
4/15/2022,CAD,Achat,260.78
4/15/2022,CAD,Achat,13708.95
4/15/2022,CAD,Achat,1207.50
4/18/2022,CAD,Achat,13296.44
4/18/2022,CAD,Achat,19.63
4/18/2022,CAD,Achat,7213.50
4/19/2022,CAD,Achat,14227.00
4/19/2022,CAD,Achat,3570.00
4/19/2022,CAD,Achat,290.87
4/20/2022,CAD,Achat,10138.98
4/20/2022,CAD,Achat,294.00
4/20/2022,CAD,Achat,76.47
4/21/2022,CAD,Achat,5.74
4/21/2022,CAD,Achat,13472.67
4/21/2022,CAD,Achat,1494.50
4/22/2022,CAD,Achat,178.05
4/22/2022,CAD,Achat,14092.18
4/22/2022,CAD,Achat,2698.50
4/25/2022,CAD,Achat,7304.34
4/25/2022,CAD,Achat,5624.50
4/26/2022,CAD,Achat,12000.89
4/26/2022,CAD,Achat,4403.00
4/27/2022,CAD,Achat,10417.95
4/27/2022,CAD,Achat,3010.00
4/27/2022,CAD,Achat,52.30
4/28/2022,CAD,Achat,305.35
4/28/2022,CAD,Achat,7056.00
4/28/2022,CAD,Achat,18401.19
4/29/2022,CAD,Achat,3461.50
4/29/2022,CAD,Achat,9557.53
4/29/2022,CAD,Achat,227.15
5/4/2022,CAD,Achat,25417.00
5/4/2022,CAD,Achat,26229.78
5/4/2022,CAD,Achat,376.88
5/5/2022,CAD,Achat,11986.89
5/5/2022,CAD,Achat,6174.00
5/5/2022,CAD,Achat,85.07
5/6/2022,CAD,Achat,7198.04
5/6/2022,CAD,Achat,5253.50
5/6/2022,CAD,Achat,160.52
5/9/2022,CAD,Achat,8036.00
5/9/2022,CAD,Achat,351.65
5/9/2022,CAD,Achat,4924.72
5/10/2022,CAD,Achat,1319.50
5/10/2022,CAD,Achat,22842.32
5/10/2022,CAD,Achat,3.07
5/11/2022,CAD,Achat,31975.20
5/11/2022,CAD,Achat,1925.00
5/11/2022,CAD,Achat,162.62
5/12/2022,CAD,Achat,601.25
5/12/2022,CAD,Achat,16940.00
5/12/2022,CAD,Achat,12960.50
5/13/2022,CAD,Achat,13789.59
5/13/2022,CAD,Achat,75.05
5/13/2022,CAD,Achat,3696.00
5/16/2022,CAD,Achat,91.85
5/16/2022,CAD,Achat,15590.51
5/16/2022,CAD,Achat,10668.00
5/17/2022,CAD,Achat,60.53
5/17/2022,CAD,Achat,14840.00
5/17/2022,CAD,Achat,34148.32
5/18/2022,CAD,Achat,45.83
5/18/2022,CAD,Achat,18134.96
5/18/2022,CAD,Achat,2352.00
5/19/2022,CAD,Achat,91.91
5/19/2022,CAD,Achat,8949.49
5/19/2022,CAD,Achat,3962.00
5/20/2022,CAD,Achat,125.64
5/20/2022,CAD,Achat,7620.09
5/20/2022,CAD,Achat,3006.50
5/23/2022,CAD,Achat,220.32
5/23/2022,CAD,Achat,24724.24
5/23/2022,CAD,Achat,11515.00
5/24/2022,CAD,Achat,2425.50
5/24/2022,CAD,Achat,3412.02
5/24/2022,CAD,Achat,214.68
5/25/2022,CAD,Achat,9726.51
5/25/2022,CAD,Achat,640.92
5/25/2022,CAD,Achat,1396.50
5/26/2022,CAD,Achat,12691.92
5/26/2022,CAD,Achat,30.63
5/26/2022,CAD,Achat,1865.50
5/27/2022,CAD,Achat,4284.00
5/27/2022,CAD,Achat,95.19
5/27/2022,CAD,Achat,19109.77
5/30/2022,CAD,Achat,29076.25
5/30/2022,CAD,Achat,549.96
5/30/2022,CAD,Achat,13828.50
5/31/2022,CAD,Achat,10510.95
5/31/2022,CAD,Achat,3829.00
5/31/2022,CAD,Achat,426.75
6/1/2022,CAD,Achat,1442.00
6/1/2022,CAD,Achat,353.75
6/1/2022,CAD,Achat,14020.82
6/2/2022,CAD,Achat,6555.50
6/2/2022,CAD,Achat,19549.15
6/2/2022,CAD,Achat,241.14
6/3/2022,CAD,Achat,5869.50
6/3/2022,CAD,Achat,29731.28
6/3/2022,CAD,Achat,0.67
6/6/2022,CAD,Achat,3206.00
6/6/2022,CAD,Achat,16669.96
6/6/2022,CAD,Achat,240.32
6/7/2022,CAD,Achat,4725.00
6/7/2022,CAD,Achat,26773.17
6/7/2022,CAD,Achat,90.69
6/8/2022,CAD,Achat,1725.50
6/8/2022,CAD,Achat,18362.40
6/8/2022,CAD,Achat,62.05
6/9/2022,CAD,Achat,12215.00
6/9/2022,CAD,Achat,5591.76
6/9/2022,CAD,Achat,324.47
6/10/2022,CAD,Achat,3006.50
6/10/2022,CAD,Achat,5765.02
6/10/2022,CAD,Achat,2142.97
6/13/2022,CAD,Achat,18417.00
6/13/2022,CAD,Achat,12679.14
6/13/2022,CAD,Achat,362.04
6/14/2022,CAD,Achat,3024.00
6/14/2022,CAD,Achat,15343.80
6/14/2022,CAD,Achat,159.31
6/15/2022,CAD,Achat,1995.00
6/15/2022,CAD,Achat,26365.40
6/15/2022,CAD,Achat,205.71
6/16/2022,CAD,Achat,27909.00
6/16/2022,CAD,Achat,13157.91
6/17/2022,CAD,Achat,5533.50
6/17/2022,CAD,Achat,7852.10
6/17/2022,CAD,Achat,458.61
6/20/2022,CAD,Achat,45629.50
6/20/2022,CAD,Achat,31741.56
6/20/2022,CAD,Achat,31.01
6/21/2022,CAD,Achat,16845.50
6/21/2022,CAD,Achat,26518.37
6/22/2022,CAD,Achat,14056.00
6/22/2022,CAD,Achat,22567.36
6/22/2022,CAD,Achat,1093.52
6/23/2022,CAD,Achat,19180.00
6/23/2022,CAD,Achat,7521.16
6/23/2022,CAD,Achat,437.16
6/24/2022,CAD,Achat,27853.00
6/24/2022,CAD,Achat,6894.03
6/24/2022,CAD,Achat,246.33
6/27/2022,CAD,Achat,20202.00
6/27/2022,CAD,Achat,6721.30
6/27/2022,CAD,Achat,2093.18
6/28/2022,CAD,Achat,17160.50
6/28/2022,CAD,Achat,15102.40
6/28/2022,CAD,Achat,114.71
6/29/2022,CAD,Achat,11529.00
6/29/2022,CAD,Achat,17086.34
6/29/2022,CAD,Achat,129.39
6/30/2022,CAD,Achat,29725.50
6/30/2022,CAD,Achat,28925.59
6/30/2022,CAD,Achat,709.72
7/1/2022,CAD,Achat,15421.00
7/1/2022,CAD,Achat,11936.71
7/1/2022,CAD,Achat,133.88
7/4/2022,CAD,Achat,32284.00
7/4/2022,CAD,Achat,2260.50
7/4/2022,CAD,Achat,77.78
7/5/2022,CAD,Achat,13384.00
7/5/2022,CAD,Achat,24235.46
7/5/2022,CAD,Achat,441.36
7/6/2022,CAD,Achat,16327.50
7/6/2022,CAD,Achat,9966.57
7/6/2022,CAD,Achat,604.22
7/7/2022,CAD,Achat,31482.50
7/7/2022,CAD,Achat,13367.73
7/7/2022,CAD,Achat,85.69
7/8/2022,CAD,Achat,22515.50
7/8/2022,CAD,Achat,5985.48
7/11/2022,CAD,Achat,34300.00
7/11/2022,CAD,Achat,11607.30
7/11/2022,CAD,Achat,329.62
7/12/2022,CAD,Achat,18616.50
7/12/2022,CAD,Achat,11797.51
7/12/2022,CAD,Achat,1200.19
7/13/2022,CAD,Achat,38685.50
7/13/2022,CAD,Achat,21897.95
7/14/2022,CAD,Achat,40547.50
7/14/2022,CAD,Achat,16579.13
7/14/2022,CAD,Achat,157.65
7/15/2022,CAD,Achat,18774.00
7/15/2022,CAD,Achat,14566.90
7/15/2022,CAD,Achat,240.68
7/18/2022,CAD,Achat,17941.00
